[2026-05-22 23:59:19] ERROR on BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
[2026-05-22 23:59:21] ERROR on ETH/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
[2026-05-22 23:59:23] ERROR on BNB/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
[2026-05-22 23:59:25] ERROR on SOL/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
[2026-05-23 00:03:02] BTC/USDT | trend=bullish | signal=0 | price=76781.33
[2026-05-23 00:03:10] ETH/USDT | trend=bearish | signal=0 | price=2117.62
[2026-05-23 00:03:16] BNB/USDT | trend=bullish | signal=0 | price=657.16
[2026-05-23 00:03:25] SOL/USDT | trend=bearish | signal=0 | price=86.38
[2026-05-23 00:13:48] BTC/USDT | trend=bullish | signal=0 | price=76660.01
[2026-05-23 00:13:55] ETH/USDT | trend=bearish | signal=0 | price=2110.01
[2026-05-23 00:14:03] BNB/USDT | trend=bullish | signal=0 | price=655.31
[2026-05-23 00:14:11] SOL/USDT | trend=bearish | signal=0 | price=85.81
[2026-05-23 00:15:21] BTC/USDT | trend=bullish | signal=0 | price=76527.03
[2026-05-23 00:15:28] ETH/USDT | trend=bearish | signal=0 | price=2102.11
[2026-05-23 00:15:35] BNB/USDT | trend=bullish | signal=0 | price=652.17
[2026-05-23 00:15:43] SOL/USDT | trend=bearish | signal=0 | price=85.1
